FileName,RC121
nNode,131
nIter,50
nCols,2961
LB,4184.413068181819
UB_1,4243.2
UB_2,4215.400000000001
t_lb,4.422
t_ub1,8.765
t_enum,0.172
t_ub2,33.274
nEnumCols,32915
