FileName,X-n957-k87
nNode,957
nIter,294
nCols,41178
LB,171170.25661593614
UB_1,176515.0
UB_2,175186.0
t_lb,5635.668
t_ub1,1802.953
t_enum,45.409
t_ub2,1828.922
nEnumCols,1121190
