FileName,RC121
nNode,121
nIter,45
nCols,1039
LB,4864.893055555556
UB_1,4906.199996863246
UB_2,4885.4
t_lb,1.125
t_ub1,3.203
t_enum,0.047
t_ub2,12.156
nEnumCols,6731
