FileName,RC101
nNode,71
nIter,28
nCols,1665
LB,1507.420930232558
UB_1,1529.9
UB_2,1526.8
t_lb,0.881
t_ub1,3.727
t_enum,0.056
t_ub2,23.268
nEnumCols,7940
