FileName,R121
nNode,151
nIter,53
nCols,7235
LB,3882.583513513514
UB_1,3934.2000000000003
UB_2,3905.7
t_lb,21.891
t_ub1,8.094
t_enum,0.812
t_ub2,51.756
nEnumCols,84715
