FileName,X-n275-k28
nNode,275
nIter,90
nCols,13026
LB,36342.464560185166
UB_1,37131.0
UB_2,36503.0
t_lb,102.733
t_ub1,1801.386
t_enum,4.184
t_ub2,1802.559
nEnumCols,302297
