FileName,X-n275-k28
nNode,275
nIter,100
nCols,6291
LB,43956.86116408842
UB_1,44445.0
UB_2,44187.0
t_lb,34.497
t_ub1,1551.806
t_enum,0.704
t_ub2,1801.28
nEnumCols,85111
