FileName,X-n655-k131
nNode,655
nIter,257
nCols,15651
LB,131572.4897948912
UB_1,132084.0
UB_2,131808.0
t_lb,484.015
t_ub1,1084.164
t_enum,4.719
t_ub2,1801.674
nEnumCols,213913
