FileName,X-n120-k6
nNode,120
nIter,49
nCols,2993
LB,47552.18666666667
UB_1,48072.0
UB_2,47846.0
t_lb,23.297
t_ub1,6.187
t_enum,0.141
t_ub2,85.739
nEnumCols,26253
