FileName,C101
nNode,61
nIter,29
nCols,535
LB,1180.3
UB_1,1184.7
UB_2,1184.7
t_lb,0.754
t_ub1,0.109
t_enum,0.43
t_ub2,1.79
nEnumCols,1370
