FileName,R101
nNode,101
nIter,34
nCols,775
LB,2005.4999999999998
UB_1,2015.3999999999999
UB_2,2013.0
t_lb,0.681
t_ub1,1.317
t_enum,0.026
t_ub2,1.749
nEnumCols,3348
