FileName,R161
nNode,351
nIter,131
nCols,2987
LB,27253.397361111118
UB_1,27422.899999999994
UB_2,27338.799999999996
t_lb,20.891
t_ub1,41.868
t_enum,0.266
t_ub2,96.453
nEnumCols,27834
