FileName,X-n655-k131
nNode,655
nIter,291
nCols,6495
LB,173068.12274531022
UB_1,173342.99999535573
UB_2,173172.0
t_lb,164.811
t_ub1,67.907
t_enum,0.765
t_ub2,175.074
nEnumCols,44404
