FileName,C121
nNode,151
nIter,62
nCols,3849
LB,4498.813492063493
UB_1,4636.4
UB_2,4569.200000000001
t_lb,7.013
t_ub1,59.132
t_enum,0.242
t_ub2,1320.778
nEnumCols,51330
