FileName,RC101
nNode,51
nIter,23
nCols,1236
LB,1184.6000000000001
UB_1,1229.0
UB_2,1224.1000000000001
t_lb,0.486
t_ub1,5.527
t_enum,0.027
t_ub2,11.443
nEnumCols,10472
