FileName,R101
nNode,71
nIter,25
nCols,558
LB,1528.7133333333334
UB_1,1539.7999999999997
UB_2,1536.6
t_lb,0.431
t_ub1,0.817
t_enum,0.015
t_ub2,1.631
nEnumCols,2125
