FileName,R101
nNode,61
nIter,20
nCols,3175
LB,892.7333333333335
UB_1,915.0999999999999
UB_2,897.8
t_lb,1.377
t_ub1,0.783
t_enum,0.106
t_ub2,0.952
nEnumCols,18944
