FileName,RC121
nNode,151
nIter,61
nCols,1348
LB,5998.730555555558
UB_1,6048.999999999999
UB_2,6020.099999999999
t_lb,2.328
t_ub1,5.75
t_enum,0.062
t_ub2,11.073
nEnumCols,9949
