FileName,C101
nNode,81
nIter,31
nCols,1808
LB,1283.3822222222225
UB_1,1292.6000000000001
UB_2,1289.9
t_lb,1.109
t_ub1,1.837
t_enum,0.037
t_ub2,7.889
nEnumCols,5284
