FileName,R121
nNode,141
nIter,50
nCols,3140
LB,4376.475841750841
UB_1,4422.8
UB_2,4400.3
t_lb,5.578
t_ub1,5.281
t_enum,0.219
t_ub2,12.875
nEnumCols,28854
