FileName,X-n237-k14
nNode,237
nIter,89
nCols,12547
LB,77639.83611843828
UB_1,78598.0
UB_2,77932.0
t_lb,85.448
t_ub1,744.513
t_enum,1.921
t_ub2,1801.444
nEnumCols,246750
