FileName,R121
nNode,131
nIter,47
nCols,1077
LB,5176.127361111113
UB_1,5216.4
UB_2,5196.799999999999
t_lb,1.371
t_ub1,2.938
t_enum,0.047
t_ub2,5.344
nEnumCols,6917
