FileName,C161
nNode,201
nIter,83
nCols,1736
LB,14632.491666666665
UB_1,14813.799998735794
UB_2,14745.199999999999
t_lb,5.16
t_ub1,19.719
t_enum,0.094
t_ub2,270.145
nEnumCols,16112
