FileName,X-n219-k73
nNode,219
nIter,89
nCols,2021
LB,117325.89814814815
UB_1,117761.0
UB_2,117595.0
t_lb,6.23
t_ub1,6.656
t_enum,0.094
t_ub2,42.218
nEnumCols,13376
