FileName,X-n181-k23
nNode,181
nIter,74
nCols,9622
LB,37684.85425170067
UB_1,38190.0
UB_2,37800.000000348184
t_lb,42.176
t_ub1,1043.411
t_enum,1.047
t_ub2,396.792
nEnumCols,161859
