FileName,R161
nNode,251
nIter,85
nCols,5453
LB,15280.584175925922
UB_1,15444.8
UB_2,15326.7
t_lb,27.024
t_ub1,12.281
t_enum,0.61
t_ub2,77.962
nEnumCols,77788
