FileName,R101
nNode,101
nIter,36
nCols,2276
LB,1612.7367816091955
UB_1,1626.4999999999998
UB_2,1619.3
t_lb,2.164
t_ub1,1.532
t_enum,0.077
t_ub2,1.259
nEnumCols,11283
