FileName,R121
nNode,141
nIter,50
nCols,1124
LB,5525.258333333333
UB_1,5567.500000000001
UB_2,5559.9
t_lb,1.75
t_ub1,2.344
t_enum,0.047
t_ub2,18.032
nEnumCols,8190
