FileName,C101
nNode,71
nIter,29
nCols,3893
LB,937.5749999999998
UB_1,947.8000000000001
UB_2,939.1000000000001
t_lb,2.678
t_ub1,1.822
t_enum,0.077
t_ub2,2.67
nEnumCols,11849
