FileName,R121
nNode,111
nIter,100
nCols,994
LB,4399.427777777778
UB_1,4427.599999999999
UB_2,4427.599999999999
t_lb,4.469
t_ub1,0.984
t_enum,0.031
t_ub2,0.953
nEnumCols,4791
