FileName,X-n376-k94
nNode,376
nIter,382
nCols,9608
LB,147428.37990196078
UB_1,148116.0
UB_2,148116.0
t_lb,199.614
t_ub1,887.57
t_enum,1.188
t_ub2,886.815
nEnumCols,108195
