FileName,RC121
nNode,131
nIter,111
nCols,1272
LB,5309.533333333336
UB_1,5343.2
UB_2,5343.2
t_lb,6.404
t_ub1,1.205
t_enum,0.031
t_ub2,1.189
nEnumCols,6702
