FileName,C101
nNode,61
nIter,70
nCols,1082
LB,915.7111111111111
UB_1,948.4999999999999
UB_2,948.4999999999999
t_lb,1.573
t_ub1,0.875
t_enum,0.047
t_ub2,0.859
nEnumCols,14908
