FileName,X-n275-k28
nNode,275
nIter,246
nCols,5584
LB,43946.89047619048
UB_1,44476.0
UB_2,44476.0
t_lb,70.31
t_ub1,798.73
t_enum,0.625
t_ub2,798.294
nEnumCols,87027
