FileName,X-n439-k37
nNode,439
nIter,396
nCols,8879
LB,89546.09804362303
UB_1,90493.0
UB_2,90493.0
t_lb,265.124
t_ub1,800.867
t_enum,1.594
t_ub2,800.241
nEnumCols,149006
