FileName,X-n439-k37
nNode,439
nIter,335
nCols,4709
LB,116146.07638888889
UB_1,116671.0
UB_2,116671.0
t_lb,202.614
t_ub1,10.234
t_enum,0.407
t_ub2,10.047
nEnumCols,35991
