FileName,X-n856-k95
nNode,856
nIter,993
nCols,27502
LB,149461.00992731933
UB_1,152721.0
UB_2,152721.0
t_lb,3292.383
t_ub1,1801.852
t_enum,37.348
t_ub2,1800.875
nEnumCols,1008895
