FileName,X-n237-k14
nNode,237
nIter,209
nCols,2806
LB,124261.08333333336
UB_1,124765.0
UB_2,124765.0
t_lb,37.461
t_ub1,23.219
t_enum,0.125
t_ub2,23.079
nEnumCols,15366
