FileName,R101
nNode,91
nIter,99
nCols,1553
LB,1510.5895833333334
UB_1,1537.0
UB_2,1537.0
t_lb,3.828
t_ub1,1.5
t_enum,0.062
t_ub2,1.468
nEnumCols,18341
