FileName,C121
nNode,111
nIter,139
nCols,2371
LB,3307.8380208333324
UB_1,3359.0
UB_2,3359.0
t_lb,2.25
t_ub1,1.262
t_enum,0.16
t_ub2,1.25
nEnumCols,30621
