FileName,X-n237-k14
nNode,237
nIter,236
nCols,5433
LB,95127.98611111112
UB_1,95579.0
UB_2,95579.0
t_lb,52.461
t_ub1,51.712
t_enum,0.484
t_ub2,51.477
nEnumCols,49018
