FileName,C161
nNode,251
nIter,226
nCols,2598
LB,17955.991666666665
UB_1,18243.199992659822
UB_2,18243.199992659822
t_lb,44.172
t_ub1,13.523
t_enum,0.14
t_ub2,13.45
nEnumCols,20878
