FileName,RC161
nNode,251
nIter,257
nCols,5147
LB,14928.307102803741
UB_1,15144.799999999997
UB_2,15144.799999999997
t_lb,59.701
t_ub1,97.031
t_enum,0.531
t_ub2,96.796
nEnumCols,82934
