FileName,X-n219-k73
nNode,219
nIter,188
nCols,2392
LB,117319.83333333331
UB_1,117818.0
UB_2,117818.0
t_lb,9.734
t_ub1,1.314
t_enum,0.77
t_ub2,1.219
nEnumCols,12887
