FileName,C121
nNode,121
nIter,106
nCols,1231
LB,4597.833333333333
UB_1,4685.400000000001
UB_2,4685.400000000001
t_lb,1.867
t_ub1,2.201
t_enum,0.327
t_ub2,2.19
nEnumCols,9537
