FileName,R121
nNode,141
nIter,155
nCols,2694
LB,4382.16888888889
UB_1,4422.3
UB_2,4422.3
t_lb,11.812
t_ub1,2.119
t_enum,0.218
t_ub2,2.072
nEnumCols,25678
