FileName,R101
nNode,81
nIter,85
nCols,1414
LB,1375.3433333333335
UB_1,1382.7
UB_2,1382.7
t_lb,2.797
t_ub1,0.39
t_enum,0.063
t_ub2,0.375
nEnumCols,3478
