FileName,RC101
nNode,61
nIter,74
nCols,1103
LB,1375.0375000000001
UB_1,1418.0
UB_2,1418.0
t_lb,1.627
t_ub1,3.313
t_enum,0.062
t_ub2,3.266
nEnumCols,14187
