FileName,nNode,nIter,nCols,LB,UB_1,UB_2,t_lb,t_ub1,t_enum,t_ub2,nEnumCols,,
C101,51,68,1312,589.4541667,612.6,612.6,1.453,1.047,0.109,1.031,30096,,
R101,51,67,1128,793.725,816.7,816.7,1.359,0.672,0.063,0.656,13701,,
RC101,51,76,1371,922.5,922.5,922.5,1.531,0.031,0.328,0.016,16,,
C101,61,78,1639,770.0333333,770.1,770.1,2.078,0.157,0.25,0.141,130,,
R101,61,76,1428,892.5898148,921.4,921.4,1.969,1.188,0.14,1.172,27843,,
RC101,61,80,1573,1145.26875,1211.7,1211.7,2.192,12.813,0.125,12.782,54289,,
C101,71,86,1921,934.5296875,956.9,956.9,2.828,2.641,0.188,2.625,34179,,
R101,71,88,1640,1067.3075,1086.9,1086.9,2.86,1.234,0.14,1.203,19171,,
RC101,71,92,1825,1258.392857,1272.3,1272.3,3.125,0.797,0.375,0.781,7787,,
C101,81,106,2182,1088.4875,1101,1101,4.203,0.61,0.14,0.578,20058,,
R101,81,102,1944,1178.475461,1212.1,1212.1,4.031,2.453,0.219,2.437,52453,,
RC101,81,115,2262,1440.6,1440.6,1440.6,4.578,0.079,0.187,0.047,49,,
C101,91,126,2459,1226.009167,1257.3,1257.3,6.032,3.109,0.391,3.047,61775,,
R101,91,127,2300,1291.238049,1335.5,1335.5,6.086,4.125,0.375,4.109,76971,,
RC101,91,118,2316,1569.275,1587.8,1587.8,5.484,1.297,0.203,1.25,15520,,
C101,101,141,2850,1393.444792,1401.4,1401.4,8.109,0.703,0.438,0.672,15190,,
R101,101,122,2432,1373.705128,1418.8,1418.8,6.857,5.83,0.641,5.775,86645,,
RC101,101,132,2729,1676.11224,1704.6,1704.6,7.375,3.094,0.312,3.047,45133,,
C121,111,175,3814,2691.385417,2770.4,2770.4,13.819,7.177,0,7.108,0,,
R121,111,141,2978,2980.947302,3040,3040,9.344,4.564,0.5,4.454,74351,,
RC121,111,146,3218,2911.422381,2956.2,2956.2,9.735,4.21,0.406,4.163,54279,,
X-n120-k6,120,160,3764,38912.56581,39772,39772,13.87,16.73,0.486,16.648,105919,0.231166667,0.278833333
C121,121,179,4076,3000.411621,3092.3,3092.3,14.5,23.457,7.25,23.363,129673,,
R121,121,146,3186,3197.193554,3234.2,3234.2,11.344,3.61,0.579,3.579,48863,,
RC121,121,142,3122,3222.640266,3269.5,3269.5,10.65,4.469,0.453,4.406,65027,,
C121,131,167,4021,3184.419508,3302.5,3302.5,15.285,10.808,2.313,10.734,154369,,
R121,131,170,3600,3459.551157,3532.4,3532.4,14.567,8.448,0.641,8.37,113718,,
RC121,131,163,3563,3502.678467,3654.4,3654.4,14.206,46.892,0.734,46.798,141798,,
C121,141,193,4621,3429.988068,3531.4,3531.4,21.633,30.554,1.188,30.445,153608,,
R121,141,174,3996,3664.355779,3743.799999,3743.799999,18.699,20.885,0.704,20.776,118074,,
RC121,141,177,3882,3689.686872,3794.5,3794.5,18.267,68.077,0.732,67.967,148974,,
C121,151,208,5013,3703.995175,3821.5,3821.5,25.489,156.229,0.781,155.931,141322,,
R121,151,183,4036,3883.389667,3945.8,3945.8,21.054,3.578,0.969,3.516,111675,,
RC121,151,179,4166,3918.712281,4071.2,4071.2,20.581,121.715,0.75,121.59,164868,,
X-n157-k13,157,229,5293,35569.03687,36192,36192,35.002,1804.269,0.8,1801.075,155721,0.583366667,30.07115
X-n181-k23,181,208,5029,37694.35347,38107,38107,37.959,243.626,1.004,243.417,139611,0.63265,4.060433333
X-n219-k73,219,305,7800,73804.01481,74477,74477,82.383,131.204,1.561,130.89,176335,1.37305,2.186733333
X-n237-k14,237,337,8511,77992.37811,78865,78865,106.628,1496.577,1.908,1495.992,209354,1.777133333,24.94295
X-n275-k28,275,297,7599,36346.72224,36869,36869,107.747,448.667,2.382,448.299,225337,1.795783333,7.477783333
X-n317-k53,317,480,12980,96040.23339,97551,97551,246.655,1800.898,3.538,1800.469,352876,4.110916667,30.01496667
X-n331-k15,331,489,12869,112807.9947,113744,113744,262.241,1801.736,3.534,1800.525,332190,4.370683333,30.02893333
X-n376-k94,376,575,15684,120304.2418,122843,122843,386.36,1801.713,4.971,1800.737,427295,6.439333333,30.02855
X-n439-k37,439,477,12182,73385.97997,74446,74446,384.748,1802.946,6.383,1800.835,337556,6.412466667,30.0491
X-n502-k39,502,684,18624,169124.3907,171831,171831,827.965,1804.277,8.626,1802.275,549963,13.79941667,30.07128333
X-n548-k50,548,937,25568,178554.0254,181790,181790,1261.499,1801.597,11.031,1800.68,606555,21.02498333,30.02661667
X-n655-k131,655,883,24504,106568.1919,108529,108529,1734.086,1802.035,21.561,1801.06,744864,28.90143333,30.03391667
X-n801-k40,801,1543,43911,256643.5213,263785,263785,4840.313,1802.649,30.383,1801.082,935039,80.67188333,30.04415
