FileName,nNode,nIter,nCols,LB,UB_1,UB_2,t_lb,t_ub1,t_enum,t_ub2,nEnumCols,,,
C101,51,28,2975,594.9,594.9,594.9,2.808,0.823,0.034,0.797,38,,,
R101,51,20,2392,793.9096491,816.1,804.4,0.988,0.819,0.068,1.421,13323,,,
RC101,51,18,2194,922.5,922.5,922.5,0.81,0.077,0.065,0.049,28,,,
C101,61,28,3029,768.785,770.1,770.1,1.597,0.928,0.05,0.945,763,,,
R101,61,20,3175,892.7333333,915.1,897.8,1.377,0.783,0.106,0.952,18944,,,
RC101,61,24,2936,1142.858333,1177.2,1157.8,1.67,6.3,0.111,85.702,26159,,,
C101,71,29,3893,937.575,947.8,939.1,2.678,1.822,0.077,2.67,11849,,,
R101,71,26,3505,1067.3075,1084.8,1072.3,2.419,3.268,0.115,1.135,15417,,,
RC101,71,30,3485,1251.881256,1288.6,1268.6,2.879,4.319,0.196,16.482,36754,,,
C101,81,34,3915,1084.8675,1117,1101.8,3.18,6.146,0.167,103.206,54388,,,
R101,81,28,3842,1178.475461,1200.8,1185.5,3.21,5.594,0.221,3.49,30492,,,
RC101,81,32,4164,1440.6,1440.6,1440.6,3.664,0.147,0.168,0.08,62,,,
C101,91,37,4802,1226.587045,1252.4,1240.5,11.33,9.119,0.277,126.969,54548,,,
R101,91,30,4341,1290.783361,1308.3,1299.6,4.354,7.413,0.215,6.022,25936,,,
RC101,91,33,4463,1568.375,1587.5,1572.3,4.793,2.049,0.205,1.516,16570,,,
C101,101,37,4987,1388.347854,1412.7,1396.7,5.991,8.573,0.305,21.848,50095,,,
R101,101,33,4647,1373.705128,1414.2,1384.6,5.892,13.898,0.453,14.605,87191,,,
RC101,101,38,4738,1670.174615,1706.1,1680.4,6.774,6.844,0.339,8.376,56078,,,
C121,111,50,6057,2702.603636,2754,2741.7,14.135,12.976,0.45,1226.185,89092,,,
R121,111,41,5398,2973.443889,3042.9,2998.8,10.14,11.469,0.469,36.657,84934,,,
RC121,111,39,5660,2910.989365,2918.699998,2916.3,8.313,1.14,0.328,1.063,5097,,,
X-n120-k6,120,46,6656,38876.31143,39444.99982,39136.99998,49.344,8.356,1.274,104.164,76262,0.8224,0.139266667,1.736066667
C121,121,51,7030,2997.839183,3100.8,3047.7,13.935,103.98,0.672,1801.931,125698,,,
R121,121,42,5991,3191.772014,3226.8,3206.5,11.991,4.625,0.438,6.297,30820,,,
RC121,121,45,5859,3222.904561,3265.8,3242.1,11.047,5.671,0.422,42.469,57420,,,
C121,131,47,6571,3173.430322,3301.5,3258,14.007,45.906,0.657,1801.773,153927,,,
R121,131,45,6198,3451.941157,3525.9,3489.6,13.985,23.047,0.656,127.507,104694,,,
RC121,131,48,6426,3511.604808,3596.5,3537,14.937,31.342,0.609,69.06,116524,,,
C121,141,54,7032,3432.005604,3554.2,3485.5,19.766,91.665,0.829,1802.03,149970,,,
R121,141,49,6671,3664.246607,3748.5,3691.499996,17.738,21.047,0.75,38.865,126291,,,
RC121,141,55,6898,3691.839545,3770.3,3729.5,18.719,73.689,0.64,937.576,117008,,,
C121,151,59,7810,3728.529296,3770.9,3772,23.337,69.853,0.828,1802.707,109314,,,
R121,151,53,7235,3882.583514,3934.2,3905.7,21.891,8.094,0.812,51.756,84715,,,
RC121,151,57,7233,3922.955248,4041.6,3976.9,21.605,115.485,0.812,1122.651,156365,,,
X-n157-k13,157,75,9132,35602.68333,36246,36185,32.006,1807.519,0.813,1802.773,154696,0.533433333,30.12531667,30.04621667
X-n181-k23,181,72,10398,37702.5212,38079,37802,41.719,46.579,1.078,645.151,139936,0.695316667,0.776316667,10.75251667
X-n219-k73,219,83,10854,73803.74304,75152,74254,70.539,1801.595,2.063,1801.227,230251,1.17565,30.02658333,30.02045
X-n237-k14,237,87,12019,78002.71881,78950,78228,85.47,521.933,2,1606.215,239842,1.4245,8.698883333,26.77025
X-n275-k28,275,92,12153,36347.84514,36999,36508,105.262,1801.687,4.39,1803.213,294405,1.754366667,30.02811667,30.05355
X-n317-k53,317,125,16089,96041.62519,98145,97291,232.324,1802.486,4.049,1804.032,363585,3.872066667,30.04143333,30.0672
X-n331-k15,331,124,16128,112818.9201,114510,113417,241.835,1802.196,5.578,1802.201,380686,4.030583333,30.0366,30.03668333
X-n376-k94,376,136,18561,120307.7606,123462,121912,329.227,1801.715,6.501,1813.041,365646,5.487116667,30.02858333,30.21735
X-n439-k37,439,139,18745,73392.48209,74869,73992,426.14,1802.649,6.422,1803.042,500997,7.102333333,30.04415,30.0507
X-n502-k39,502,217,27577,169126.6227,171597,170412,884.848,1802.862,12.86,1805.01,571123,14.74746667,30.0477,30.0835
X-n548-k50,548,195,25648,178535.2418,182790,179878,1024.703,1802.004,11.912,1811.76,479561,17.07838333,30.0334,30.196
X-n655-k131,655,249,32433,106560.7159,109933,107623,1880.88,1801.619,16.726,1819.577,750101,31.348,30.02698333,30.32628333
X-n801-k40,801,282,37716,256635.6542,264353,262929,3507.361,1802.998,28.68,1800.777,919066,58.45601667,30.04996667,30.01295
X-n856-k95,856,283,35917,149462.3109,154249,152019,4032.172,1802.3,37.902,1800.941,994148,,,
X-n957-k87,957,304,41044,171165.1949,176926,174639,5813.643,1803.872,45.528,1808.904,1106688,,,
